legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
265ce3b7,QC26010002,,จุดสี /Colcr dct,Minor,8
8aae69cb,QC26010002,,รอยขีด/scratch mark,Minor,1
5a24fc80,QC26010002,,พิมพ์แตก/Printing cracked,Minor,1
2f7aabf7,QC26010002,,บุบ/Dent,Minor,1
345fd1c5,QC26010003,,เปื้อนสี / stain color,Minor,1
5d457df5,QC26010005,,จุดสี /Colcr dct,Minor,2
163ea9cc,QC26010005,,ประกอบไม่สุด/Assembled not complete,Minor,1
ffb06ce1,QC26010005,,แหว่ง/chip,Minor,1
1c69b6f7,QC26010008,,จุดสี /Colcr dct,Minor,30
62dd2789,QC26010009,,คราบวาสลีน/Vaseline stain,Minor,31
1d88f3b7,QC26010010,,จุดสี /Colcr dct,Minor,33
314c691b,QC26010010,,คราบสกปรก/Dirty,Minor,1
a754f995,QC26010017,,มีเศษพลาสติก/scrap plastic,Minor,24
06e72ff6,QC26010019,,ไม่เหมือน STD./ not same STD.,Minor,250
9bbd700a,QC26010019,,สีไม่ตรง STD./Color off Standard,Minor,250
0f581c35,QC26010019,,รอยด่าง/stain spot,Minor,33
1f0295a2,QC26010019,,เป็นเม็ด/Dot,Minor,1
338fc7e5,QC26010020,,สีไม่ตรง STD./Color off Standard,Minor,800
8e05f17d,QC26010021,,สีไม่ตรง STD./Color off Standard,Minor,500
e94a5564,QC26010032,,สีไม่ตรง STD./Color off Standard,Minor,200
22d0327e,QC26010034,,สีไม่ตรง STD./Color off Standard,Minor,315
5a833419,QC26010035,,สีไม่ตรง STD./Color off Standard,Minor,500
61e81b71,QC26010036,,เส้นผม/hair,Critical,1
b7fef3f0,QC26010036,,หมุนไม่สุด,Minor,57
6e6b3c42,QC26010036,,จุดสี /Colcr dct,Minor,3
15402247,QC26010036,,ส่วนประกอบไม่ครบ/Missing components,Major,1
3ab26312,QC26010037,,สีไม่ตรง STD./Color off Standard,Minor,315
9b7ba768,QC26010043,,ไม่เหมือน STD./ not same STD.,Minor,200
1ad70f57,QC26010044,,สีไม่ตรง STD./Color off Standard,Minor,315
f1c5c7ba,QC26010045,,สีไม่ตรง STD./Color off Standard,Minor,315
d22db105,QC26010045,,รอยย่น/Wrinkle,Minor,27
77eccd51,QC26010045,,ปิดเบา เปิดเบา / Softly closed,Major,1
c0ac295c,QC26010045,,ร้าว/crack,Critical,1
525d3cbd,QC26010046,,รอยขีด/scratch mark,Minor,6
a4b5e010,QC26010046,,เป็นเม็ด/Dot,Minor,3
48fe0e53,QC26010046,,ผิวไม่เรียบ/Uneven sufface,Minor,1
66c675f6,QC26010046,,ถลอก/Peel off,Minor,1
17f7eebe,QC26010046,,คราบสกปรก/Dirty,Minor,1
d7a6fccd,QC26010047,,เป็นเม็ด/Dot,Minor,24
f0af50dd,QC26010047,,คราบวาสลีน/Vaseline stain,Minor,5
179ac011,QC26010047,,รอยขีด/scratch mark,Minor,3
63551ee0,QC26010077,,สีไม่ตรง STD./Color off Standard,Minor,125
16e0f9d9,QC26010078,,สีไม่ตรง STD./Color off Standard,Minor,125
f722dea1,QC26010079,,สีไม่ตรง STD./Color off Standard,Minor,200
aedc686a,QC26010080,,สีไม่ตรง STD./Color off Standard,Minor,200
f56391c2,QC26010080,,เปื้อนสี / stain color,Minor,1
92e22cb2,QC26010081,,สีไม่ตรง STD./Color off Standard,Minor,400
c55894cd,QC26010081,,รอยขีด/scratch mark,Minor,2
271e8d97,QC26010081,,โดนความร้อน/Has mark from heat,Minor,1
869defce,QC26010081,,จุดสี /Colcr dct,Minor,2
73439eee,QC26010082,,สีไม่ตรง STD./Color off Standard,Minor,400
be285a87,QC26010082,,ถลอก/Peel off,Minor,1
d10a96ea,QC26010082,,เปื้อนตัวยา / stain bulk,Minor,1
6adee672,QC26010083,,สีไม่ตรง STD./Color off Standard,Minor,400
29c4bcee,QC26010083,,คราบสกปรก/Dirty,Minor,1
cace10dc,QC26010084,,สีไม่ตรง STD./Color off Standard,Minor,630
09844c7e,QC26010084,,จุดสี /Colcr dct,Minor,7
9537f4f2,QC26010084,,คราบสกปรก/Dirty,Minor,1
6d9a6559,QC26010090,,จุดสี /Colcr dct,Minor,7
952a2991,QC26010090,,คราบสกปรก/Dirty,Minor,6
6a22a268,QC26010091,,คราบวาสลีน/Vaseline stain,Minor,22
241fc861,QC26010091,,ถลอก/Peel off,Minor,1
0c6a4382,QC26010091,,ประกายเงิน/silver streak,Minor,1
698dc205,QC26010092,,จุดสี /Colcr dct,Minor,36
bb3dcc7b,QC26010092,,คราบสกปรก/Dirty,Minor,1
a7484640,QC26010092,,ถลอก/Peel off,Minor,1
37e66acb,QC26010093,,แตก/broken,Major,1
ef9bb64a,QC26010093,,ประกอบไม่สุด/Assembled not complete,Minor,1
bc217b06,QC26010094,,หมุนไม่สุด,Minor,28
34a396c5,QC26010094,,เสียรูปทรง/Deform,Minor,2
8d80014c,QC26010095,,มีเศษพลาสติก/scrap plastic,Minor,24
99977d1d,QC26010096,,มีเศษพลาสติก/scrap plastic,Minor,26
feb89901,QC26010096,,จุดสี /Colcr dct,Minor,3
50d2a35a,QC26010097,,รอยเส้น/Trace mark,Minor,25
5d9603e8,QC26010097,,รอยขีด/scratch mark,Minor,1
50398b6b,QC26010098,,จุดสี /Colcr dct,Minor,32
7f40e0a6,QC26010098,,ถลอก/Peel off,Minor,2
dc3de1a0,QC26010099,,หมุนไม่สุด,Minor,33
94829f94,QC26010100,,คราบสกปรก/Dirty,Minor,3
ca137fb3,QC26010100,,จุดสี /Colcr dct,Minor,3
0ef700b9,QC26010100,,ประกายเงิน/silver streak,Minor,1
00a3bbb9,QC26010100,,เสียรูปทรง/Deform,Major,1
67f3fdd6,QC26010100,,เปื้อนสี / stain color,Minor,1
44607a76,QC26010100,,จุด Stopper เสียรูปทรงจากการประกอบ,Minor,10
e71c8cdc,QC26010101,,มีเศษพลาสติก/scrap plastic,Minor,3
5d4d2c8d,QC26010101,,รอยขีด/scratch mark,Minor,2
7e6f6026,QC26010102,,แหว่ง/chip,Minor,32
049c20f1,QC26010102,,เสียรูปทรง/Deform,Major,1
b2c92f3b,QC26010104,,สีไม่ตรง STD./Color off Standard,Minor,200
bb6725ce,QC26010105,,สีไม่ตรง STD./Color off Standard,Minor,200
22547766,QC26010109,,ถลอก/Peel off,Minor,2
99422327,QC26010109,,เอียง,Minor,2
04ebcd1b,QC26010109,,ร้าว/crack,Critical,1
48dd4420,QC26010112,,มีเศษพลาสติก/scrap plastic,Minor,38
7b0551d6,QC26010112,,เสียรูปทรง/Deform,Minor,1
77eb175a,QC26010113,,ขาด / missing,Minor,5
7c0dd3a0,QC26010114,,สีไม่ตรง STD./Color off Standard,Major,200
0c098ade,QC26010114,,พิมพ์ถลอก/Printing Peel off,Minor,1
27d2a222,QC26010114,,เปื้อนสี / stain color,Minor,1
fe0425df,QC26010115,,สีไม่ตรง STD./Color off Standard,Minor,315
20ea7978,QC26010115,,เปื้อนสี / stain color,Minor,1
dc0aa5bb,QC26010116,,ส่วนประกอบไม่ครบ/Missing components,Minor,1
0f9fa974,QC26010119,,จุดสี /Colcr dct,Critical,18
00b6df75,QC26010120,,มีเศษพลาสติก/scrap plastic,Minor,24
3b3e98f0,QC26010120,,คราบสกปรก/Dirty,Minor,3
917ed837,QC26010121,,สีไม่ตรง STD./Color off Standard,Minor,500
2f694c18,QC26010125,,แตก/broken,Major,1
d925aa6d,QC26010125,,เสียรูปทรง/Deform,Major,1
79a40f35,QC26010127,,พิมพ์ถลอก/Printing Peel off,Minor,1
b0337ed0,QC26010127,,พิมพ์ไม่ตรงตำแหน่ง/Printing not position,Major,1
27364292,QC26010129,,สีไม่ตรง STD./Color off Standard,Minor,630
aef4bfd5,QC26010129,,จุดสี /Colcr dct,Minor,6
cf1ded1b,QC26010129,,รอยขีด/scratch mark,Minor,1
83506885,QC26010130,,สีไม่ตรง STD./Color off Standard,Minor,1000
d9d52783,QC26010130,,คราบสกปรก/Dirty,Minor,33
513fef2c,QC26010130,,มีเศษพลาสติก/scrap plastic,Minor,26
fd61e71e,QC26010131,,จุดสี /Colcr dct,Minor,7
a5142945,QC26010131,,คราบสกปรก/Dirty,Minor,4
f42bb566,QC26010131,,บุบ/Dent,Minor,1
f2a804ca,QC26010131,,รอยขีด/scratch mark,Minor,1
202732d0,QC26010132,,สีไม่ตรง STD./Color off Standard,Minor,800
d8ad4b54,QC26010134,,สีไม่ตรง STD./Color off Standard,Minor,200
194fc7f9,QC26010134,,รอยขีด/scratch mark,Minor,3
9cce104f,QC26010134,,บิ่น/chip,Major,1
4d4dc06d,QC26010135,,ไม่เหมือน STD./ not same STD.,Minor,52
79fa6183,QC26010135,,งอ/Bend,Minor,3
cfacdcff,QC26010136,,สีไม่ตรง STD./Color off Standard,Minor,500
65eb0a86,QC26010136,,ผิวไม่เรียบ/Uneven sufface,Minor,31
8c9567fe,QC26010136,,พิมพ์แตก/Printing cracked,Minor,27
9ea2daf6,QC26010136,,พิมพ์ถลอก/Printing Peel off,Minor,4
e3bdeedd,QC26010136,,เปื้อนตัวยา / stain bulk,Minor,3
4cde21e3,QC26010137,,ไม่เหมือน STD./ not same STD.,Minor,500
df9eef02,QC26010144,,พิมพ์แตก/Printing cracked,Minor,2
2347e9a3,QC26010145,,เปื้อนตัวยา / stain bulk,Minor,34
207537cf,QC26010145,,จุดสี /Colcr dct,Minor,3
7dcb1ddf,QC26010145,,เปื้อนสี / stain color,Minor,2
0df26386,QC26010145,,สีไม่ตรง STD./Color off Standard,Minor,500
06f96838,QC26010146,,สีไม่ตรง STD./Color off Standard,Minor,315
4e6ca1a2,QC26010147,,สีไม่ตรง STD./Color off Standard,Minor,246
8f2881f5,QC26010147,,รอยด่าง/stain spot,Minor,26
948ebfaa,QC26010148,,สีไม่ตรง STD./Color off Standard,Minor,125
daca02b5,QC26010158,,สีไม่ตรง STD./Color off Standard,Minor,315
f2d1e991,QC26010159,,สีไม่ตรง STD./Color off Standard,Minor,200
2b83c9f1,QC26010159,,ไม่เหมือน STD./ not same STD.,Minor,200
c6e06171,QC26010159,,คราบกาว/glue stains,Minor,2
f8979356,QC26010160,,สีไม่ตรง STD./Color off Standard,Minor,200
1d07d1d0,QC26010160,,ไม่เหมือน STD./ not same STD.,Minor,200
85a70b2e,QC26010161,,คราบสกปรก/Dirty,Minor,6
7b5d6f89,QC26010161,,เปื้อนสี / stain color,Minor,3
b4e78133,QC26010161,,จุดสี /Colcr dct,Minor,2
bee5fb17,QC26010162,,สีไม่ตรง STD./Color off Standard,Major,630
4c6c03e6,QC26010162,,จุด Stopper เสียรูปทรงจากการประกอบ,Minor,10
e0f6a3e9,QC26010163,,สีไม่ตรง STD./Color off Standard,Major,630
5ac3263d,QC26010163,,สีพิมพ์ไม่สม่ำเสมอ The printed color is uneven.,Minor,630
